,0
1094,4
1095,4
1096,4
1097,5
1098,3
1099,5
1100,4
1101,4
1102,5
1103,4
1104,4
1105,4
1106,3
1107,4
1108,4
1109,4
1110,5
1111,5
1112,4
1113,3
1114,3
1115,8
1116,4
1117,4
1118,4
1119,4
1120,3
1121,7
1122,4
1123,3
1124,4
1125,4
1126,4
1127,5
1128,8
1129,9
1130,7
1131,9
1132,5
1133,4
1134,5
1135,6
1136,4
1137,4
1138,4
1139,6
1140,7
1141,5
1142,5
1143,4
1144,8
1145,6
1146,5
1147,5
1148,5
1149,5
1150,5
1151,4
1152,5
1153,4
1154,7
1155,8
1156,6
1157,9
1158,10
1159,5
1160,5
1161,3
1162,4
1163,5
1164,4
1165,4
1166,4
1167,5
1168,4
1169,4
1170,5
1171,6
1172,5
1173,6
1174,4
1175,5
1176,4
1177,5
1178,5
1179,6
1180,7
1181,3
1182,4
1183,4
1184,5
1185,4
1186,5
1187,4
1188,4
1189,5
1190,4
1191,5
1192,3
1193,4
1194,5
1195,5
1196,4
1197,3
1198,4
1199,5
1200,6
1201,4
1202,6
1203,4
1204,4
1205,4
1206,5
1207,5
1208,6
1209,5
1210,5
1211,6
1212,4
1213,5
1214,5
1215,4
1216,4
1217,5
1218,4
1219,4
1220,4
1221,4
1222,5
1223,4
1224,5
1225,6
1226,4
1227,3
1228,3
1229,4
1230,4
1231,4
1232,4
1233,5
1234,7
1235,5
1236,5
1237,5
1238,4
1239,4
1240,5
1241,5
1242,3
1243,6
1244,5
1245,4
1246,6
1247,3
1248,3
1249,5
1250,3
1251,5
1252,7
1253,4
1254,5
1255,6
1256,3
1257,4
1258,5
1259,6
1260,5
1261,6
1262,4
1263,4
1264,5
1265,3
1266,5
1267,4
1268,7
1269,4
1270,4
1271,4
1272,5
1273,3
1274,5
1275,6
1276,7
1277,3
1278,8
1279,4
1280,6
1281,5
1282,5
1283,3
1284,6
1285,7
1286,4
1287,6
1288,4
1289,5
1290,7
1291,2
1292,5
1293,4
1294,7
1295,5
1296,4
1297,5
1298,4
1299,4
1300,5
1301,5
1302,3
1303,8
1304,6
1305,7
1306,6
1307,3
1308,8
1309,4
1310,3
1311,9
1312,3
1313,4
1314,3
1315,4
1316,4
1317,3
1318,5
1319,7
1320,10
1321,7
1322,11
1323,4
1324,4
1325,3
1326,7
1327,5
1328,3
1329,3
1330,2
1331,3
1332,4
1333,5
1334,2
1335,4
1336,3
1337,3
1338,5
1339,4
1340,4
1341,5
1342,4
1343,4
1344,6
1345,4
1346,6
1347,3
1348,4
1349,3
1350,2
1351,4
1352,4
1353,3
1354,5
1355,6
1356,4
1357,8
1358,5
1359,4
1360,6
1361,5
1362,7
1363,5
1364,6
1365,5
1366,6
1367,4
1368,4
1369,5
1370,3
1371,5
1372,6
1373,6
1374,5
1375,3
1376,3
1377,3
1378,7
1379,4
1380,4
1381,5
1382,3
1383,5
1384,5
1385,9
1386,5
1387,7
1388,5
1389,5
1390,5
1391,3
1392,4
1393,10
1394,5
1395,6
1396,3
1397,4
1398,6
1399,7
1400,3
1401,4
1402,5
1403,6
1404,4
1405,5
1406,4
1407,6
1408,5
1409,4
1410,4
1411,5
1412,7
1413,6
1414,4
1415,5
1416,6
1417,4
1418,8
1419,4
1420,3
1421,9
1422,4
1423,10
1424,4
1425,7
1426,5
1427,4
1428,3
1429,5
1430,11
1431,7
1432,4
1433,5
1434,8
1435,4
1436,5
1437,6
1438,5
1439,5
1440,4
1441,6
1442,5
1443,4
1444,4
1445,4
1446,4
1447,6
1448,4
1449,3
1450,5
1451,4
1452,7
1453,4
1454,5
1455,6
1456,4
1457,7
1458,4
1459,5
1460,6
1461,3
1462,5
1463,4
1464,4
1465,5
1466,8
1467,4
1468,5
1469,6
1470,4
1471,4
1472,5
1473,4
1474,7
1475,5
1476,8
1477,4
1478,5
1479,4
1480,3
1481,4
1482,5
1483,6
1484,4
1485,5
1486,4
1487,5
1488,5
1489,3
1490,4
1491,4
1492,5
1493,6
1494,3
1495,6
1496,5
1497,4
1498,7
1499,4
1500,3
1501,4
1502,4
1503,4
1504,6
1505,4
1506,4
1507,4
1508,4
1509,5
1510,6
1511,7
1512,4
1513,5
1514,5
1515,6
1516,3
1517,6
1518,5
1519,4
1520,4
1521,4
1522,4
1523,4
1524,5
1525,4
1526,5
1527,4
1528,4
1529,4
1530,6
1531,6
1532,5
1533,4
1534,5
1535,6
1536,5
1537,4
1538,7
1539,6
1540,4
1541,3
1542,4
1543,6
1544,5
1545,4
1546,6
1547,4
1548,5
1549,4
1550,4
1551,5
1552,4
1553,5
1554,3
1555,6
1556,5
1557,6
1558,4
1559,6
1560,4
1561,3
1562,4
1563,4
1564,4
1565,5
1566,4
1567,4
1568,4
1569,5
1570,4
1571,4
1572,5
1573,5
1574,6
1575,6
1576,6
1577,5
1578,6
1579,7
1580,4
1581,3
1582,4
1583,5
1584,4
1585,4
1586,3
1587,4
1588,5
1589,6
1590,4
1591,4
1592,6
1593,5
1594,5
1595,5
1596,2
1597,7
1598,4
1599,8
1600,4
1601,2
1602,9
1603,6
1604,3
1605,10
1606,4
1607,3
1608,3
1609,2
1610,4
1611,4
1612,5
1613,4
1614,5
1615,5
1616,3
1617,4
1618,4
1619,4
1620,4
1621,3
1622,5
1623,5
1624,4
1625,5
1626,3
1627,5
1628,4
1629,5
1630,5
1631,5
1632,8
1633,5
1634,6
1635,6
1636,5
1637,5
1638,6
1639,3
1640,6
1641,4
1642,3
1643,6
1644,3
1645,6
1646,5
1647,5
1648,6
1649,7
1650,5
1651,4
1652,3
1653,4
1654,5
1655,4
1656,5
1657,6
1658,5
1659,6
1660,5
1661,7
1662,3
1663,4
1664,4
1665,6
1666,5
1667,4
1668,5
1669,6
1670,4
1671,3
1672,5
1673,6
1674,7
1675,4
1676,6
1677,5
1678,3
1679,4
1680,6
1681,4
1682,4
1683,5
1684,5
1685,5
1686,8
1687,7
1688,4
1689,5
1690,4
1691,4
1692,5
1693,6
1694,5
1695,4
1696,4
1697,5
1698,4
1699,3
1700,7
1701,6
1702,3
1703,4
1704,4
1705,4
1706,3
1707,8
1708,5
1709,4
1710,3
1711,4
1712,4
1713,4
1714,6
1715,4
1716,6
1717,5
1718,6
1719,8
1720,4
1721,4
1722,4
1723,5
1724,5
1725,6
1726,3
1727,6
1728,5
1729,4
1730,4
1731,3
1732,5
1733,6
1734,3
1735,5
1736,9
1737,3
1738,7
1739,4
1740,5
1741,7
1742,5
1743,4
1744,5
1745,3
1746,4
1747,4
1748,4
1749,3
1750,4
1751,4
1752,5
1753,4
1754,4
1755,4
1756,3
1757,2
1758,4
1759,5
1760,4
1761,4
1762,4
1763,4
1764,5
1765,5
1766,3
1767,4
1768,5
1769,3
1770,5
1771,6
1772,7
1773,4
1774,3
1775,3
1776,5
1777,8
1778,6
1779,6
1780,7
1781,5
1782,4
1783,10
1784,6
1785,4
1786,7
1787,4
1788,5
1789,5
1790,3
1791,3
1792,5
1793,5
1794,4
1795,4
1796,5
1797,6
1798,5
1799,5
1800,6
1801,5
1802,6
1803,4
1804,9
1805,3
1806,5
1807,11
1808,5
1809,4
1810,4
1811,7
1812,8
1813,3
1814,5
1815,5
1816,5
1817,5
1818,6
1819,7
1820,4
1821,6
1822,5
1823,4
1824,5
1825,4
1826,4
1827,5
1828,5
1829,4
1830,5
1831,5
1832,6
1833,4
1834,4
1835,7
1836,5
1837,4
1838,7
1839,5
1840,4
1841,3
1842,4
1843,4
1844,4
1845,5
1846,3
1847,4
1848,6
1849,6
1850,5
1851,4
1852,5
1853,5
1854,4
1855,4
1856,5
1857,4
1858,4
1859,5
1860,4
1861,6
1862,5
1863,6
1864,5
1865,3
1866,5
1867,6
1868,6
1869,4
1870,6
1871,4
1872,6
1873,6
1874,5
1875,3
1876,7
1877,5
1878,3
1879,4
1880,5
1881,7
1882,6
1883,7
1884,4
1885,6
1886,8
1887,9
1888,5
1889,4
1890,3
1891,4
1892,7
1893,5
1894,8
1895,4
1896,9
1897,4
1898,4
1899,4
1900,5
1901,4
1902,7
1903,4
1904,4
1905,3
1906,4
1907,4
1908,5
1909,3
1910,5
1911,6
1912,3
1913,4
1914,5
1915,4
1916,6
1917,3
1918,5
1919,4
1920,5
1921,4
1922,5
1923,4
1924,5
1925,4
1926,5
1927,5
1928,5
1929,4
1930,4
1931,5
1932,6
1933,5
1934,4
1935,5
1936,3
1937,5
1938,4
1939,4
1940,6
1941,5
1942,5
1943,4
1944,3
1945,5
1946,3
1947,6
1948,4
1949,7
1950,4
1951,4
1952,5
1953,6
1954,5
1955,6
1956,3
1957,4
1958,4
1959,4
1960,5
1961,3
1962,4
1963,5
1964,4
1965,5
1966,4
1967,4
1968,5
1969,4
1970,3
1971,3
1972,4
1973,5
1974,6
1975,6
1976,3
1977,4
1978,4
1979,3
1980,3
1981,4
1982,5
1983,4
1984,7
1985,5
1986,4
1987,6
1988,5
1989,5
1990,4
1991,6
1992,4
1993,4
1994,4
1995,3
1996,4
1997,4
1998,4
1999,4
2000,5
2001,4
2002,3
2003,7
2004,5
2005,7
2006,4
2007,3
2008,5
2009,4
2010,6
2011,4
2012,4
2013,4
2014,4
2015,7
2016,6
2017,4
2018,4
2019,5
2020,4
2021,4
2022,3
2023,4
2024,4
2025,4
2026,3
2027,4
2028,6
2029,5
2030,4
2031,5
2032,4
2033,4
2034,7
2035,4
2036,6
2037,5
2038,5
2039,6
2040,5
2041,4
2042,6
2043,5
2044,5
2045,4
2046,4
2047,4
2048,5
2049,4
2050,5
2051,4
2052,4
2053,3
2054,4
2055,6
2056,4
2057,7
2058,5
2059,4
2060,6
2061,6
2062,6
2063,8
2064,9
2065,6
2066,4
2067,3
2068,4
2069,6
2070,3
2071,4
2072,4
2073,5
2074,5
2075,6
2076,5
2077,5
2078,4
2079,4
2080,3
2081,4
2082,4
2083,4
2084,5
2085,4
2086,6
2087,4
2088,4
2089,4
2090,5
2091,3
2092,6
2093,4
2094,4
2095,5
2096,3
2097,4
2098,4
2099,4
2100,5
2101,5
2102,4
2103,4
2104,5
2105,3
2106,5
2107,6
2108,3
2109,2
2110,7
2111,3
2112,3
2113,3
2114,8
2115,6
2116,4
2117,9
2118,3
2119,5
2120,7
2121,3
2122,6
2123,10
2124,7
2125,6
2126,4
2127,6
2128,5
2129,6
2130,4
2131,4
2132,5
2133,5
2134,4
2135,5
2136,5
2137,5
2138,3
2139,5
2140,3
2141,6
2142,4
2143,5
2144,5
2145,4
2146,6
2147,5
2148,4
2149,4
2150,3
2151,4
2152,5
2153,5
2154,4
2155,5
2156,4
2157,4
2158,6
2159,7
2160,5
2161,3
2162,3
2163,4
2164,3
2165,3
2166,5
2167,5
2168,5
2169,6
2170,4
2171,6
2172,5
2173,4
2174,4
2175,5
2176,5
2177,6
2178,7
2179,4
2180,6
2181,8
2182,4
2183,7
2184,4
2185,4
2186,6
2187,3
2188,5
2189,5
2190,2
2191,6
2192,4
2193,3
2194,5
2195,4
2196,4
2197,4
2198,4
2199,4
2200,5
2201,4
2202,4
2203,3
2204,4
2205,5
2206,6
2207,4
2208,3
2209,4
2210,5
2211,5
2212,4
2213,5
2214,5
2215,7
2216,7
2217,5
2218,5
2219,6
2220,6
2221,5
2222,5
2223,7
2224,4
2225,5
2226,6
2227,6
2228,4
2229,7
2230,4
2231,4
2232,6
2233,3
2234,4
2235,5
2236,4
2237,5
2238,3
2239,8
2240,5
2241,7
2242,9
2243,8
2244,3
2245,7
2246,4
2247,5
2248,5
2249,6
2250,4
2251,3
2252,5
2253,2
2254,4
2255,4
2256,4
2257,4
2258,5
2259,3
2260,7
2261,6
2262,5
2263,6
2264,8
2265,5
2266,6
2267,7
2268,6
2269,5
2270,5
2271,5
2272,6
2273,4
2274,5
2275,4
2276,6
2277,4
2278,3
2279,5
2280,3
2281,4
2282,4
2283,4
2284,4
2285,5
2286,6
2287,5
2288,4
2289,6
2290,5
2291,7
2292,7
2293,3
2294,4
2295,3
2296,2
2297,8
2298,5
2299,6
2300,5
2301,4
2302,4
2303,5
2304,4
2305,9
2306,9
2307,5
2308,4
2309,8
2310,4
2311,5
2312,5
2313,4
2314,4
2315,4
2316,6
2317,4
2318,4
2319,3
2320,3
2321,4
2322,5
2323,6
2324,10
2325,3
2326,7
2327,10
2328,4
2329,5
2330,4
2331,6
2332,5
2333,2
2334,4
2335,5
2336,5
2337,7
2338,4
2339,5
2340,7
2341,11
2342,11
2343,4
2344,3
2345,12
2346,8
2347,5
2348,4
2349,13
2350,6
2351,12
2352,7
2353,7
2354,2
2355,5
2356,3
2357,5
2358,6
2359,4
2360,5
2361,4
2362,5
2363,6
2364,5
2365,6
